id,rowVersion,email,phone,fax
A795C83F-56B3-B2CD-63D9-FDE5290CA3B6,null,biblio.cis@usj.edu.lb,+961 1 421000,+961 421000
A795C83F-56B3-B2CD-63D9-FDE5290CA3B7,null,usj@usj.edu.lb,+961 (1) 421 410,+961 (1) 421 043
A795C83F-56B3-B2CD-63D9-FDE5290CA3B8,null,ceedd-fondation-diane@usj.edu.lb,961-1-421000,961-1-421061
A795C83F-56B3-B2CD-63D9-FDE5290CA3B9,null,usj@usj.edu.lb,+961 421000,+961 421000
834CF9C4-CBFE-D4BD-C7B2-B47B047F2A3C,null,gerard.bejjani@usj.edu.lb,+961 421000,+961 421000
7FCB1E88-D102-ADF4-DCF3-8B89A515D62E,null,usj@usj.edu.lb,+961 (1) 421 576,+961 421000
89A03B4E-FB8C-14C7-D7C3-9B29A8696C5A,null,manser@usj.edu.lb,+961 (1) 421 642,+961 421000
39296314-FB08-8476-8573-A785A6C282F5,null,usj@usj.edu.lb,+961 421000,+961 421000
54B8E2BA-E836-D62B-4B9E-8FA02E54EB1C,null,chur@usj.edu.lb,+961 (1) 421 572,+961 421000
16E328FC-F676-5439-D16A-3DCB847C094E,null,nadine.riachi@usj.edu.lb,+961 (1) 421 000,+961 421000
2192CC34-3CDB-8461-D420-7E58E38C2C40,null,cpm@usj.edu.lb,+961 (1) 421475,+961 (1) 421476
83A7084E-E0ED-A20F-50F4-D3E747F4AD91,null,cpmn@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
F820FC60-308F-B202-72BC-A2BAF2DEB108,null,cpm@usj.edu.lb,+961 (7) 731284 - 5,+961 (7) 720 069
FEBDEB39-BD48-F015-318C-6B8A56EA6940,null,nada.khouryel@usj.edu.lb,+961 (1) 421 000,+961 (1) 421 509
A3BE56FC-4614-8A37-C941-501D6CA0B39F,null,admission@usj.edu.lb,01 / 421 138,+961 421000
4183563C-746D-7E6E-2D8D-B81E716E5935,null,usj@usj.edu.lb,+961 421000,+961 421000
904CFB6D-89C1-19B4-BE58-23F28AE174A2,null,usj@usj.edu.lb,+961 421000,+961 421000
5C6C3D86-B02E-2CDA-7DAE-A27DB4A6D818,null,edshs@usj.edu.lb,+961 (1) 421 549,+961 421000
CDB2C2DB-3C4B-FA25-1F28-49A58D1C56F1,null,usj@usj.edu.lb,+961 421000,+961 421000
838C0160-C58F-204F-B4D9-6842EF3FEA21,null,elfs@usj.edu.lb,+961 (1) 421 220,+961 (1)421 026
FEC0D1EB-53AB-C653-4EC0-867C57AD0AB1,null,elfs@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
80C13740-6700-2D8E-C78E-2E1E43CBE81F,null,esf@usj.edu.lb,+961 (1) 421 253,+961 (1) 421 023
6B5B3FD0-5739-4B2E-74D1-AEB0B6B1F474,null,fi.esia@usj.edu.lb,+961 (8) 543 120,+961 (8) 542 522
86F4B076-8EF5-D0EC-3017-8401CFAF3A1F,null,esiam@usj.edu.lb,+961 (8) 543 120/1,+961 (8) 542 522
A42A2E59-F8BF-A761-2C27-1DF2328450B7,null,Secretariat.esib@usj.edu.lb - Secretariat2.esib@usj.edu.lb,01/421 312 - 316 -317 -318,+961 (4) 532 645
620E9F58-D46D-3D9B-CB74-95FDFE096B94,null,usj@usj.edu.lb,+961 421000,+961 421000
38D053A4-87D4-5BDB-259A-DC2A67858EA8,null,usj@usj.edu.lb,+961 421000,+961 421000
A2529DA6-6C38-C46B-6B64-3A02958C3727,null,ceuzb@usj.edu.lb,+961 (8) 812 204,+961 421000
67DA13C2-6130-9A9A-B19A-36CD57D5D41F,null,nicole.massoud@usj.edu.lb,01/421000,+961 421000
E31693FA-F314-945D-4BF6-5767AC62D4BE,null,etib@usj.edu.lb,+961 (1) 421 552,01/421509
3E574276-141A-58B7-C3F8-69AB63F97AB8,null,etlam@usj.edu.lb,+961 (1) 421 258,+961 421000
2BDC689F-E6F8-FE6D-2035-7BFD540473F0,null,cel@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
598BDEA3-3513-3152-1345-1731A65AFB6C,null,cel@usj.edu.lb,+961 (7) 731 284,+961 (7) 720 069
A9A26DED-A20E-0575-B4B5-1498B0B1F2AC,null,fdlt@usj.edu.lb,+961 (1) 421 552,+961 (1) 421 509
CE69CF76-765D-1AEB-F795-A485A91408EC,null,cel@usj.edu.lb,+961 (8) 812 204,+961 (8) 543 120/1
F0954EAE-1761-C906-E598-982B81F3A7FB,null,fdsp@usj.edu.lb,+961 (1) 421 432,+961 (1) 421045
9EDB371D-B9DB-5262-1F41-B8269267DF63,null,fdspd@usj.edu.lb,+961 421000,+961 421000
AF47A09A-9462-9B39-8BE9-D58DAE75D09F,null,fgm@usj.edu.lb,+961 (1) 421 418,+961 421000
51E52128-1CA7-2B91-2C0A-FBC2FA15E80F,null,fgmn@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
8EBD814D-5056-3EBA-D5B9-312307F602BE,null,fgms@usj.edu.lb,+961 (7) 731 284,+961 (7) 720 069
A47DAC18-3B67-7422-1069-A63458BD6297,null,fgmz@usj.edu.lb,+961 (8) 812 204,+961 (8) 543 120/1
86ED45FA-4A70-B2CC-2A76-3EBD827EFD4F,null,fi@usj.edu.lb,+961 (1) 421 317,+961 (4) 532 645
98A89F74-D39F-1A7A-AD0E-1C727ED9EB8A,null,flsh@usj.edu.lb,+961 (1) 421 520,+961 (1) 421 055
F80CE28A-B4F7-B72F-A4A5-27BEAC54F18B,null,flshn@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
98514E6C-C1CF-AFB4-46E1-4FE4068B4E2B,null,flshs@usj.edu.lb,+961 (7) 731 284,+961 (7) 720 069
C9BEF12A-151B-A56C-63AB-3563B505F60F,null,flshz@usj.edu.lb,+961 (8) 812 204,+961 (8) 803 325
B5023CD7-5CD4-275E-E211-8C9E7EF6F98B,null,fm@usj.edu.lb,+961 (1) 421 235,+961 (1) 421 023
610B2C5F-1CE0-625B-EB5E-235F8FB5A2C8,null,fmd@usj.edu.lb,+961 (1) 421 280,+961 (1) 421 024
14902E69-FE9E-3E5F-4C56-97242A2738C9,null,fp@usj.edu.lb,+961 (1) 421 259,+961 (1) 421 022
59AEC84B-2CAB-E41F-AF27-5C349E3416D6,null,fs@usj.edu.lb,+961 (1) 421 368,+961 (4) 532 657
92CAB874-8F62-D60A-4B04-6804306CACF3,null,fse@usj.edu.lb,+961 (1) 421 644,+961 (1) 421 649
D5A2915E-260A-8053-6F72-A204BCAFAE1C,null,fsedu@usj.edu.lb,+961 (1) 421 579,+961 (1) 421 061
9D0947B8-9C47-7567-412C-234BC4C8501E,null,usj@usj.edu.lb,+961 421000,+961 421000
E0EB219C-C6B6-FB39-FC2C-5DA86529E572,null,fsi@usj.edu.lb,+961 (1) 421 240,+961 (1) 421 025
59EA7F8E-D493-DBE5-4F60-8075950D18A2,null,fs@fs.edu.lb,+961 6 400 820/1,+961 421000
15707130-A13E-2A29-6328-213536C518D5,null,fsr@usj.edu.lb,+961 (1) 421 572,+961 (1) 421 060
EC17F69D-6AF5-C5D9-8785-428E2B589406,null,fss@fs.usj.edu.lb,+961 7 731 284/5,+961 7 720 069
39A45F9E-F6DE-7B3A-2D43-E37D6F8362C5,null,fs@fs.edu.lb,+961 8 812 204,+961 8 803 325
CD34D578-D821-9037-EF48-C0617A0ECD00,null,ci@usj.edu.lb;muriel.moubarak@usj.edu.lb,+961 (1) 421 590,+961 421000
53E0FDF2-7CD2-598D-C5CF-A6E9C8427181,null,ieic@usj.edu.lb,+961 (1) 421 587,+961 421000
E48B83E5-F89A-C827-420F-D793DE3AC421,null,iesav@usj.edu.lb,+961 (1) 421 530,+961 (1) 421 056
1934D60C-FB5C-91A3-C6A0-4C1DB461F616,null,iet@usj.edu.lb;: carla.abizeid@usj.edu.lb,01/421662 ,+961 421000
14BAB641-B7F7-FD81-2973-5931A1F0155E,null,ige@usj.edu.lb,+961 (1) 421 392/3/4,+961 421000
1CF252CE-4202-B47C-3AF8-6E1716B83BC1,null,ile@usj.edu.lb,+961 (1) 421 548,+961 (1) 421 057
1E593AFB-9A19-39B4-E612-6D02515C2AC7,null,ilen@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
14581815-DAEF-2316-2C50-4D8384F95C34,null,ilo@usj.edu.lb,+961 (1) 421 000,+961 (1) 421 059
78DC2CAD-C328-475A-8B2B-403BC120E2FA,null,ilo@usj.edu.lb,+961 (1) 421 000,+961 (1) 421 059
6A04B430-5EA1-48B9-28AB-A72E06A9185B,null,usj@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
8F7AEC06-2E2E-1DE4-103C-BCBAE352DC31,null,inci@usj.edu.lb,+961 (1) 421 315,+961 (4) 532 645
543BC5A8-748E-9BDA-F3AB-9B45A453EFE4,null,fm.iphy@usj.edu.lb,+961 (1) 421 622,+961 421000
8678B2A0-81E7-5659-A1D9-36A9AB0FBC76,null,fm.ipm@usj.edu.lb,+961 (1) 421 617,+961 (1) 421 656
C5AB9BF0-518A-1BAB-F9D6-E1A8A9E01237,null,iseb@usj.edu.lb;,+961 (1) 421000,+961 421000
32AE81C7-24A8-4B1B-C36F-59FBF24CB98D,null,fm.iso@usj.edu.lb,01/421640,+961 421000
8674D13E-BDE5-D74C-79D3-E5E2C69E2681,null,isp@usj.edu.lb,+961 (1) 421 443,+961 (1) 421 050
8DE0D6F1-5CF7-2F42-CB18-C9AB53546219,null,issa@usj.edu.lb,+961 (1) 421 473,+961 (1) 421 048
A6F5E61D-82C5-E15E-9B96-C4E51246A79C,null,issp@usj.edu.lb,01/421270,01/421027
FD960B09-8348-C40D-4683-6C5CF1FB8293,null,issr@usj.edu.lb,+961 (1) 421 581,+961 (1) 421 580
5B5F1F3A-6AEA-4B26-8893-6E3C5E496E0C,null,hayat.azouri@usj.edu.lb,+961 (1) 421000,01421022
D7DBD637-5EC2-9C96-6D30-CB45C0BFED2E,null,nada.naaman@usj.edu.lb,01-421000,+961 421000
A6A7E3AC-6F61-DBF1-992A-16905AEA4612,null,usj@usj.edu.lb,01/421 000,+961 421000
F93FA85C-5E8C-4ADA-FB1C-D01AB72517C0,null,usj@usj.edu.lb,01/421 000,+961 421000
D959F6AB-A60B-19DA-7165-34A9A1910216,null,khalil.helou@usj.edu.lb,+961 (1) 421000,+961 421000
5E7B5394-83F9-A32C-195B-87C1BD3A51D7,null,usj@usj.edu.lb,01/421 000,+961 421000
5A4B8FB8-436B-A4E2-17FC-E4132FAB4312,null,usj@usj.edu.lb,01/421 000,+961 421000
10549031-A39D-D17C-C73A-78CAE642E1C7,null,usj@usj.edu.lb,+961(1)421000,+961 421000
E537D803-6B93-6916-B8E4-6BEC47E92125,null,secg@usj.edu.lb,+961 (1) 421 000,+961 (1) 421 005
39101D4C-6E6B-5A59-49B0-953C519DF9F0,null,sip@usj.edu.lb,01/421000 ,+961 421000
BA934CA1-8536-7B8C-4CF5-5032174874BE,null,sports@usj.edu.lb,+961 (1) 421 623,+961 (1) 421 624
F70348DF-532B-80C0-57D1-6D9B2F1E4B2F,null,usj@usj.edu.lb,+961 421000,+961 421000
D6F76FE7-201A-14B9-C40F-37CE0159EB0B,null,usj@usj.edu.lb,+961 421000,+961 421000
17314196-E456-C26E-6E79-3B3934DBC5C0,null,ugm@usj.edu.lb,+961 (1) 421 630 /1,+961 (1) 421 632
52539FA3-C52C-DCAB-67DE-B2AB6D108152,null,unte@usj.edu.lb,+961 (1) 421 594,+961 421000
1FCB9EB8-3BA3-6960-39C2-3F8D467B4119,null,upt@usj.edu.lb,+961 (1) 421 800,+961 (1) 421 080
C957B360-4CB9-1C4C-D898-8CD869C5EAFD,null,ceuls@usj.edu.lb,01/421000,07/720069 
5E69B706-03B5-40BB-9DE6-053583889208,null,usj@usj.edu.lb,+961 421000,+961 421000 
