id,RowVersion,code,namefr,namear,nameen,credits,institution_id
A17B910A-57D4-BFDA-F6ED-696975C02840,null,002SS01L4,SS01 Introduction à la Statistique  Biomédicale (ancien SP01),SS01 Introduction à la Statistique  Biomédicale (ancien SP01),SS01 Introduction à la Statistique  Biomédicale (ancien SP01),3,68FC740B-68B5-FABF-C971-91CBF28C1CA3
56F15945-E068-2F9D-98B8-38F0A57812D1,null,002SS11L5,SS11 Eléments de Statistique Analytique,SS11 Eléments de Statistique Analytique,SS11 Eléments de Statistique Analytique,3,68FC740B-68B5-FABF-C971-91CBF28C1CA3
75B48541-2EBE-789E-619F-23D2B603E3D4,null,002FC01L1,Fc01 Introduction à la chimie générale appliquée à la science médicale (version 2003),Fc01 Introduction à la chimie générale appliquée à la science médicale (version 2003),Fc01 Introduction à la chimie générale appliquée à la science médicale (version 2003),3,68FC740B-68B5-FABF-C971-91CBF28C1CA3
259A0F09-4395-965E-A345-D9CD8EBF1B35,null,002FC07L1,FC04 Eléments de chimie Générale II,FC04 Eléments de chimie Générale II,FC04 Eléments de chimie Générale II,2,68FC740B-68B5-FABF-C971-91CBF28C1CA3
D950B8B7-B256-DC32-69B5-86BF794ECA40,null,002FB01L7,Fb01 Cytologie (version 2003),Fb01 Cytologie (version 2003),Fb01 Cytologie (version 2003),5,68FC740B-68B5-FABF-C971-91CBF28C1CA3
45A25D43-9509-AF49-4BE2-61CABA291616,null,002FB02L7,Fb02 Introduction à la biologie générale (version 2003),Fb02 Introduction à la biologie générale (version 2003),Fb02 Introduction à la biologie générale (version 2003),2,68FC740B-68B5-FABF-C971-91CBF28C1CA3
A1FC02E1-C592-47A6-B573-A4862A3012B3,null,002BA02L1,Ba02 - Éléments d'anatomie générale humaine : myologie et névrologie,Ba02 - Éléments d'anatomie générale humaine : myologie et névrologie,Ba02 - Éléments d'anatomie générale humaine : myologie et névrologie,2,68FC740B-68B5-FABF-C971-91CBF28C1CA3
D7D26AE3-ED37-257A-69A8-6ADF5B38C96C,null,002BP01L2,BP01 Eléments de Biophysique I,BP01 Eléments de Biophysique I,BP01 Eléments de Biophysique I,2,68FC740B-68B5-FABF-C971-91CBF28C1CA3
24D70608-C792-5319-45C6-254DA67BADE8,null,002BH02L3,Bh02 - Bases d'histologie des organes,Bh02 - Bases d'histologie des organes,Bh02 - Bases d'histologie des organes,2,68FC740B-68B5-FABF-C971-91CBF28C1CA3
50F9016A-A6FA-CBDA-C1C9-BC1D66275A86,null,002BC01L2,BC01 Biochimie Structurale pour les Etudes Médicales,BC01 Biochimie Structurale pour les Etudes Médicales,BC01 Biochimie Structurale pour les Etudes Médicales,4,68FC740B-68B5-FABF-C971-91CBF28C1CA3
14E53DAC-651C-0F93-8294-4BC56C23BA1B,null,002BG01L2,Bg01 - Introduction à la génétique humaine,Bg01 - Introduction à la génétique humaine,Bg01 - Introduction à la génétique humaine,3,68FC740B-68B5-FABF-C971-91CBF28C1CA3
94ABD341-A082-9DAE-71BC-26B564058CF7,null,002BG02L3,Bg02 - Bases moléculaires du génie génétique,Bg02 - Bases moléculaires du génie génétique,Bg02 - Bases moléculaires du génie génétique,3,68FC740B-68B5-FABF-C971-91CBF28C1CA3
