code,namefr,namear,nameen,streetfr,streetar,cityfr,cityar,countryfr,countryar,longitude,latitude,email,phone,fax
BCIS,Bibliothèque Carlos Ghosn,Bibliothèque Carlos Ghosn,Carlos Ghosn Library,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,biblio.cis@usj.edu.lb,+961 1 421000,+961 421000
CAJAP,Centre académique japonais,المركز الأكاديميّ اليابانيّ,Japanese Academic Center ,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,usj@usj.edu.lb,+961 (1) 421 410,+961 (1) 421 043
CEEDD,Chaire de la Fondation Diane Pour l’Éducation à l’Éco-citoyenneté et au Développement Durable  ,Chaire de la Fondation Diane Pour l’Éducation à l’Éco-citoyenneté et au Développement Durable  ,Chair on Education for Eco-Citizenship and Sustainable Development,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,ceedd-fondation-diane@usj.edu.lb,961-1-421000,961-1-421061
CHDC,Chaire de Droit Continental,كرسيّ القانون القاريّ,Chair of Continental Law,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,usj@usj.edu.lb,+961 421000,+961 421000
CHFR,Chaire Senghor de la Francophonie,كُرسيّ الفرنكوفونيّة,Chair of the Francophonie,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,gerard.bejjani@usj.edu.lb,+961 421000,+961 421000
CHIF,Chaire Louis D. Institut de France d'anthropologie interculturelle,كُرسيّ أنتروبولوجيا تَفاعُل الثقافات,Louis D. French Institute of Intercultural Anthropology Chair,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,usj@usj.edu.lb,+961 (1) 421 576,+961 421000
CHMSR,"Chaire de management de la sécurité routière, Fondation Renault-Université Saint-Joseph de Beyrouth",كرسي إدارة السّلامة المروريّة,"Road Safety Management Chair, Fondation Renault - Université Saint-Joseph, Beirut",Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,manser@usj.edu.lb,+961 (1) 421 642,+961 421000
CHRS,Chaire Riad El Solh,كرسي رياض الصلح,Riad El Solh Chair,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,usj@usj.edu.lb,+961 421000,+961 421000
CHUR,"Chaire UNESCO d'études comparées des religions, de la médiation et du dialogue",كُرسيّ اليونسكو للدراسات المقارَنَة وللحِوار بين الأديان,"UNESCO Chair in Comparative Studies of Religions, Mediation, and Dialogue",Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,chur@usj.edu.lb,+961 (1) 421 572,+961 421000
CLV,Centre des langues vivantes,Centre des langues vivantes,Centre des langues vivantes,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,nadine.riachi@usj.edu.lb,+961 (1) 421 000,+961 421000
CPM,Centre professionnel de médiation ,المركز المهنيّ للوساطة,Professional Center for Mediation,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,Beyrouth,cpm@usj.edu.lb,+961 (1) 421475,+961 (1) 421476
CPMN,Centre professionnel de médiation - Branche du Liban Nord,المركز المهنيّ للوساطة في لبنان الشمالي,Professional Mediation Center- Branch of North Lebanon,Nord,Nord,Nord,Nord,Nord,Nord,cpmn@usj.edu.lb,+961 (6) 400 821,+961 (6) 401 820
